DMA,retail_month,gross_bookings
salt lake city,2/1/19,16193
raleigh-durham,9/1/18,15980
nashville,4/1/19,15781
kansas city,9/1/18,15775
charlotte,11/1/18,15664
dallas-fort worth,1/1/19,15644
baltimore,9/1/18,15480
houston,12/1/18,15407
kansas city,2/1/19,15335
kansas city,3/1/19,15318
"portland, or",6/1/18,15130
detroit,12/1/18,15109
sacramento-stockton-modesto,1/1/19,15090
phoenix,3/1/19,14936
tampa-st petersburg-sarasota,3/1/19,14921
salt lake city,4/1/19,14774
grand rapids-kalamazoo-battle creek,11/1/18,14613
austin,10/1/18,14573
milwaukee,11/1/18,14475
albuquerque-santa fe,5/1/19,14350
saint louis,10/1/18,14230
kansas city,4/1/19,14192
grand rapids-kalamazoo-battle creek,4/1/19,14083
miami-fort lauderdale,12/1/18,14032
"portland, or",10/1/18,13980
miami-fort lauderdale,4/1/19,13974
raleigh-durham,10/1/18,13965
salt lake city,3/1/19,13717
cleveland-akron,4/1/19,13710
sacramento-stockton-modesto,3/1/19,13652
houston,10/1/18,13554
detroit,10/1/18,13480
saint louis,3/1/19,13397
greenville-spartanburg-asheville,11/1/18,13315
sacramento-stockton-modesto,5/1/19,13297
richmond-petersburg,4/1/19,13278
detroit,1/1/19,13139
saint louis,11/1/18,12881
cleveland-akron,11/1/18,12803
indianapolis,9/1/18,12780
saint louis,2/1/19,12690
dallas-fort worth,12/1/18,12523
nashville,9/1/18,12495
norfolk-portsmouth-newport news,11/1/18,12475
nashville,6/1/18,12440
nashville,2/1/19,12435
cincinnati,8/1/18,12420
tampa-st petersburg-sarasota,11/1/18,12414
jacksonville,2/1/19,12393
miami-fort lauderdale,11/1/18,12345
richmond-petersburg,2/1/19,12330
san antonio,2/1/19,12328
"columbus, oh",4/1/19,12308
madison,11/1/18,12303
pittsburgh,3/1/19,12284
orlando-daytona beach-melbourne,11/1/18,12204
charlotte,3/1/19,12075
omaha,5/1/19,11940
kansas city,11/1/18,11938
milwaukee,9/1/18,11890
"columbus, oh",11/1/18,11840
houston,3/1/19,11784
dallas-fort worth,6/1/18,11745
raleigh-durham,6/1/18,11695
pittsburgh,11/1/18,11669
greenville-spartanburg-asheville,2/1/19,11669
kansas city,5/1/19,11609
miami-fort lauderdale,1/1/19,11578
san diego,10/1/18,11535
tampa-st petersburg-sarasota,5/1/19,11490
tampa-st petersburg-sarasota,4/1/19,11486
detroit,9/1/18,11450
richmond-petersburg,7/1/18,11435
boise,11/1/18,11383
atlanta,8/1/18,11340
san diego,7/1/18,11295
nashville,5/1/19,11285
buffalo,11/1/18,11185
sacramento-stockton-modesto,4/1/19,11153
phoenix,7/1/18,11135
spokane,11/1/18,11065
"portland, or",8/1/18,11035
orlando-daytona beach-melbourne,2/1/19,10998
charlotte,7/1/18,10855
baltimore,6/1/18,10845
san antonio,5/1/19,10790
cleveland-akron,1/1/19,10790
miami-fort lauderdale,5/1/19,10710
cleveland-akron,12/1/18,10679
miami-fort lauderdale,9/1/18,10650
new orleans,5/1/19,10564
nashville,7/1/18,10490
indianapolis,2/1/19,10485
salt lake city,1/1/19,10465
madison,4/1/19,10435
milwaukee,12/1/18,10392
buffalo,2/1/19,10378
orlando-daytona beach-melbourne,6/1/18,10260
santa barbara-san mar-san luis obispo,10/1/18,10260
atlanta,6/1/18,10255
saint louis,4/1/19,10176
houston,1/1/19,10138
louisville,11/1/18,10097
phoenix,9/1/18,10005
saint louis,1/1/19,9966
milwaukee,4/1/19,9820
philadelphia,8/1/18,9755
denver,8/1/18,9740
eugene,10/1/18,9740
cincinnati,11/1/18,9673
austin,1/1/19,9627
