DMA,retail_month,gross_bookings
tyler-longview (lfkn&ncgd),2/1/19,2335
tallahassee-thomasville,4/1/19,2335
west palm beach-ft pierce,8/1/18,2335
youngstown,10/1/18,2335
traverse city-cadillac,4/1/19,2335
"rochester, ny",9/1/18,2335
fort wayne,11/1/18,2335
albuquerque-santa fe,4/1/19,2335
buffalo,1/1/19,2335
mobile-pensacola,10/1/18,2240
fargo-valley city,11/1/18,2240
greenville-new bern-washington,12/1/18,2239
chico-redding,3/1/19,2197
boise,7/1/18,2190
"columbus, oh",6/1/18,2190
lexington,6/1/18,2190
"jackson, ms",6/1/18,2190
tucson-sierra vista,6/1/18,2190
casper-riverton,4/1/19,2185
cedar rapids-waterloo-dubuque,6/1/18,2185
chattanooga,12/1/18,2185
savannah,12/1/18,2185
tulsa,9/1/18,2185
reno,1/1/19,2173
missoula,11/1/18,2135
lake charles,5/1/19,2090
marquette,9/1/18,2090
little rock-pine bluff,4/1/19,2090
knoxville,9/1/18,2090
grand rapids-kalamazoo-battle creek,6/1/18,2085
san diego,6/1/18,2085
columbia-jefferson city,12/1/18,2059
duluth-superior,11/1/18,2059
omaha,4/1/19,2056
peoria-bloomington,4/1/19,2040
kansas city,8/1/18,2040
chattanooga,7/1/18,2040
harlingen-weslaco-brownsville,9/1/18,2040
milwaukee,8/1/18,2040
sioux falls (mitchell),8/1/18,2040
yakima-pasco-rchlnd-knnwck,1/1/19,2040
"columbus, ga",3/1/19,2040
madison,8/1/18,2040
toledo,2/1/19,2040
chico-redding,11/1/18,2040
omaha,6/1/18,2040
sioux falls (mitchell),6/1/18,2040
tyler-longview (lfkn&ncgd),9/1/18,2040
burlington-plattsburgh,11/1/18,2040
erie,10/1/18,2040
tallahassee-thomasville,12/1/18,2040
baton rouge,2/1/19,2040
tucson-sierra vista,1/1/19,2040
la crosse-eau claire,9/1/18,2040
"tri-cities, tn-va",3/1/19,2035
medford-klamath falls,1/1/19,2028
oklahoma city,12/1/18,2024
flint-saginaw-bay city,2/1/19,2024
knoxville,3/1/19,2019
la crosse-eau claire,1/1/19,2004
minot-bismarck-dickinson,11/1/18,2004
odessa-midland,2/1/19,2004
champaign-springfield-decatur,5/1/19,1985
"bend, or",10/1/18,1985
amarillo,5/1/19,1985
cleveland-akron,8/1/18,1985
johnstown-altoona,3/1/19,1985
west palm beach-ft pierce,2/1/19,1985
augusta,1/1/19,1985
baton rouge,9/1/18,1985
billings,9/1/18,1985
monterey-salinas,11/1/18,1945
tulsa,10/1/18,1945
knoxville,4/1/19,1945
wichita-hutchinson plus,4/1/19,1945
great falls,3/1/19,1945
cheyenne-scottsbluff,2/1/19,1945
mobile-pensacola,2/1/19,1945
huntsville-decatur-florence,10/1/18,1945
new orleans,9/1/18,1945
monterey-salinas,9/1/18,1945
tucson-sierra vista,11/1/18,1945
wichita falls-lawton,2/1/19,1945
tyler-longview (lfkn&ncgd),11/1/18,1945
butte-bozeman,10/1/18,1945
harrisonburg,2/1/19,1945
idaho falls-pocatello,9/1/18,1945
huntsville-decatur-florence,7/1/18,1945
el paso,2/1/19,1945
charleston-huntington,2/1/19,1945
el paso,9/1/18,1945
fort smith-fay-sprngdl,2/1/19,1945
wichita-hutchinson plus,10/1/18,1945
"bend, or",8/1/18,1945
minot-bismarck-dickinson,4/1/19,1945
utica,4/1/19,1945
pittsburgh,6/1/18,1940
gainesville,7/1/18,1890
milwaukee,6/1/18,1890
shreveport,5/1/19,1890
salisbury,7/1/18,1890
toledo,6/1/18,1890
"rochester, ny",1/1/19,1890
la crosse-eau claire,6/1/18,1885
bakersfield,7/1/18,1885
chattanooga,5/1/19,1880
omaha,8/1/18,1840
augusta,2/1/19,1840
omaha,9/1/18,1840
flint-saginaw-bay city,1/1/19,1840
orlando-daytona beach-melbourne,12/1/18,1840
billings,2/1/19,1840
toledo,10/1/18,1840
knoxville,5/1/19,1840
medford-klamath falls,3/1/19,1840
charleston-huntington,10/1/18,1840
charleston-huntington,3/1/19,1835
little rock-pine bluff,2/1/19,1835
waco-temple-bryan,11/1/18,1817
waco-temple-bryan,1/1/19,1812
memphis,7/1/18,1745
greenville-new bern-washington,6/1/18,1745
fort myers-naples,7/1/18,1745
norfolk-portsmouth-newport news,6/1/18,1740
panama city,5/1/19,1713
odessa-midland,4/1/19,1690
la crosse-eau claire,11/1/18,1690
missoula,1/1/19,1690
odessa-midland,1/1/19,1690
champaign-springfield-decatur,3/1/19,1690
greenville-new bern-washington,1/1/19,1690
norfolk-portsmouth-newport news,8/1/18,1690
cincinnati,6/1/18,1690
youngstown,11/1/18,1690
chico-redding,2/1/19,1690
kansas city,6/1/18,1690
chattanooga,9/1/18,1690
panama city,10/1/18,1690
little rock-pine bluff,3/1/19,1690
santa barbara-san mar-san luis obispo,8/1/18,1690
lincoln-hastings-kearney plus,4/1/19,1690
monterey-salinas,6/1/18,1685
augusta,5/1/19,1685
"columbia, sc",11/1/18,1685
amarillo,2/1/19,1678
eugene,2/1/19,1650
buffalo,6/1/18,1640
new orleans,12/1/18,1638
wilmington,11/1/18,1638
great falls,11/1/18,1635
augusta,12/1/18,1631
lincoln-hastings-kearney plus,5/1/19,1620
wilkes barre-scranton,7/1/18,1610
"springfield, mo",11/1/18,1595
"lafayette, la",4/1/19,1595
phoenix,10/1/18,1595
grand junction-montrose,4/1/19,1595
albany-schenectady-troy,8/1/18,1595
syracuse,11/1/18,1595
green bay-appleton,12/1/18,1595
victoria,1/1/19,1595
twin falls,11/1/18,1595
watertown,12/1/18,1595
tulsa,4/1/19,1595
gainesville,9/1/18,1595
billings,3/1/19,1595
lexington,1/1/19,1595
mobile-pensacola,4/1/19,1595
tallahassee-thomasville,9/1/18,1595
reno,9/1/18,1595
lansing,3/1/19,1595
fort myers-naples,2/1/19,1595
columbia-jefferson city,3/1/19,1595
helena,11/1/18,1595
santa barbara-san mar-san luis obispo,1/1/19,1595
"columbus, ga",8/1/18,1595
hattiesburg-laurel,2/1/19,1595
davenport-rock island-moline,11/1/18,1595
knoxville,2/1/19,1595
fort myers-naples,11/1/18,1595
amarillo,9/1/18,1595
"lafayette, la",7/1/18,1595
abilene-sweetwater,2/1/19,1595
norfolk-portsmouth-newport news,1/1/19,1595
greenville-spartanburg-asheville,8/1/18,1595
fort myers-naples,3/1/19,1595
salisbury,1/1/19,1595
west palm beach-ft pierce,5/1/19,1595
bowling green,11/1/18,1595
"tri-cities, tn-va",10/1/18,1595
birmingham,5/1/19,1595
wilmington,1/1/19,1595
cedar rapids-waterloo-dubuque,8/1/18,1595
fargo-valley city,3/1/19,1595
chico-redding,12/1/18,1595
"charleston, sc",3/1/19,1595
butte-bozeman,9/1/18,1595
indianapolis,8/1/18,1595
watertown,11/1/18,1595
hattiesburg-laurel,5/1/19,1595
yakima-pasco-rchlnd-knnwck,12/1/18,1595
dayton,7/1/18,1595
dothan,5/1/19,1595
utica,3/1/19,1595
greenville-new bern-washington,3/1/19,1595
richmond-petersburg,8/1/18,1595
little rock-pine bluff,7/1/18,1595
mankato,2/1/19,1595
lubbock,1/1/19,1595
evansville,7/1/18,1585
fargo-valley city,1/1/19,1545
flint-saginaw-bay city,4/1/19,1545
"jackson, ms",3/1/19,1545
grand rapids-kalamazoo-battle creek,8/1/18,1545
corpus christi,1/1/19,1545
lima,4/1/19,1545
augusta,11/1/18,1545
evansville,2/1/19,1545
memphis,4/1/19,1545
paducah-cape girardeau-harrisburg,11/1/18,1545
yuma-el centro,10/1/18,1545
davenport-rock island-moline,8/1/18,1545
erie,12/1/18,1545
lubbock,8/1/18,1545
fort smith-fay-sprngdl,1/1/19,1540
waco-temple-bryan,9/1/18,1540
norfolk-portsmouth-newport news,12/1/18,1533
toledo,12/1/18,1505
davenport-rock island-moline,3/1/19,1503
fort myers-naples,9/1/18,1490
"lafayette, la",2/1/19,1490
rockford,2/1/19,1490
missoula,9/1/18,1490
madison,1/1/19,1490
chico-redding,10/1/18,1490
greensboro-high point-winston salem,8/1/18,1490
"columbus, ga",9/1/18,1490
rockford,1/1/19,1490
idaho falls-pocatello,8/1/18,1490
lexington,11/1/18,1490
waco-temple-bryan,2/1/19,1490
harlingen-weslaco-brownsville,5/1/19,1490
augusta,4/1/19,1490
spokane,8/1/18,1490
tallahassee-thomasville,3/1/19,1490
youngstown,5/1/19,1490
dayton,4/1/19,1490
new orleans,1/1/19,1490
missoula,2/1/19,1490
butte-bozeman,1/1/19,1490
la crosse-eau claire,4/1/19,1490
myrtle beach-florence,1/1/19,1490
fargo-valley city,12/1/18,1490
yakima-pasco-rchlnd-knnwck,4/1/19,1490
knoxville,8/1/18,1490
sherman-ada,5/1/19,1490
lexington,8/1/18,1490
"lafayette, in",11/1/18,1490
boise,12/1/18,1490
chattanooga,3/1/19,1490
"albany, ga",2/1/19,1490
casper-riverton,6/1/18,1445
baton rouge,7/1/18,1445
wausau-rhinelander,6/1/18,1445
clarksburg-weston,7/1/18,1445
"charleston, sc",6/1/18,1445
minot-bismarck-dickinson,6/1/18,1445
harlingen-weslaco-brownsville,7/1/18,1445
rochester-mason city-austin,6/1/18,1445
yakima-pasco-rchlnd-knnwck,7/1/18,1445
harrisburg-lancaster-lebanon-york,6/1/18,1445
cheyenne-scottsbluff,7/1/18,1445
odessa-midland,7/1/18,1445
memphis,12/1/18,1419
"albany, ga",7/1/18,1390
charleston-huntington,6/1/18,1390
tulsa,6/1/18,1390
mankato,6/1/18,1390
"bend, or",6/1/18,1390
little rock-pine bluff,6/1/18,1390
"jackson, tn",7/1/18,1390
"lafayette, la",11/1/18,1383
lima,2/1/19,1340
albany-schenectady-troy,5/1/19,1339
savannah,4/1/19,1315
south bend-elkhart,6/1/18,1290
youngstown,4/1/19,1265
fresno-visalia,3/1/19,1245
"charleston, sc",12/1/18,1245
idaho falls-pocatello,5/1/19,1230
traverse city-cadillac,5/1/19,1195
davenport-rock island-moline,4/1/19,1195
meridian,10/1/18,1195
"tri-cities, tn-va",2/1/19,1195
south bend-elkhart,7/1/18,1195
green bay-appleton,8/1/18,1195
rochester-mason city-austin,11/1/18,1195
monterey-salinas,10/1/18,1195
panama city,1/1/19,1195
wilmington,5/1/19,1195
terre haute,9/1/18,1195
memphis,3/1/19,1195
duluth-superior,3/1/19,1195
columbus-tupelo-west point,5/1/19,1195
salisbury,4/1/19,1195
yakima-pasco-rchlnd-knnwck,2/1/19,1195
greenville-spartanburg-asheville,3/1/19,1195
odessa-midland,5/1/19,1195
"columbus, ga",11/1/18,1195
des moines-ames,4/1/19,1195
greenville-spartanburg-asheville,1/1/19,1195
"tri-cities, tn-va",4/1/19,1195
tucson-sierra vista,9/1/18,1195
beaumont-port arthur,1/1/19,1195
memphis,11/1/18,1195
"bend, or",3/1/19,1195
peoria-bloomington,2/1/19,1195
davenport-rock island-moline,2/1/19,1195
"charleston, sc",4/1/19,1195
chattanooga,1/1/19,1195
amarillo,4/1/19,1195
eureka,1/1/19,1195
toledo,8/1/18,1195
cincinnati,1/1/19,1195
"springfield, mo",10/1/18,1195
harlingen-weslaco-brownsville,8/1/18,1195
topeka,4/1/19,1195
syracuse,10/1/18,1195
knoxville,1/1/19,1195
eugene,5/1/19,1195
colorado springs-pueblo,1/1/19,1195
victoria,3/1/19,1195
lexington,3/1/19,1195
oklahoma city,9/1/18,1195
panama city,11/1/18,1195
dayton,9/1/18,1195
medford-klamath falls,10/1/18,1195
west palm beach-ft pierce,1/1/19,1195
tulsa,1/1/19,1195
lake charles,2/1/19,1195
beaumont-port arthur,4/1/19,1195
youngstown,9/1/18,1195
duluth-superior,1/1/19,1195
rapid city,5/1/19,1168
green bay-appleton,4/1/19,1140
peoria-bloomington,11/1/18,1140
"columbia, sc",8/1/18,1140
missoula,4/1/19,1140
grand rapids-kalamazoo-battle creek,7/1/18,1140
dayton,8/1/18,1140
eugene,12/1/18,1140
las vegas,2/1/19,1140
buffalo,8/1/18,1140
dayton,11/1/18,1140
"columbia, sc",1/1/19,1140
savannah,2/1/19,1140
waco-temple-bryan,3/1/19,1140
eugene,8/1/18,1140
burlington-plattsburgh,7/1/18,1095
watertown,6/1/18,1095
albany-schenectady-troy,6/1/18,1095
el paso,6/1/18,1095
saint louis,6/1/18,1095
macon,7/1/18,1095
waco-temple-bryan,6/1/18,1095
syracuse,7/1/18,1095
memphis,6/1/18,1095
syracuse,6/1/18,1095
tyler-longview (lfkn&ncgd),6/1/18,1095
albuquerque-santa fe,6/1/18,1095
santa barbara-san mar-san luis obispo,6/1/18,1095
huntsville-decatur-florence,6/1/18,1095
"tri-cities, tn-va",6/1/18,1095
gainesville,6/1/18,1095
macon,6/1/18,1095
omaha,12/1/18,1037
jacksonville,5/1/19,1021
"rochester, ny",4/1/19,995
grand junction-montrose,5/1/19,995
elmira,5/1/19,995
norfolk-portsmouth-newport news,4/1/19,995
rochester-mason city-austin,5/1/19,995
minot-bismarck-dickinson,3/1/19,990
casper-riverton,1/1/19,990
joplin-pittsburg,1/1/19,990
syracuse,3/1/19,990
wheeling-steubenville,3/1/19,990
fresno-visalia,4/1/19,990
charleston-huntington,5/1/19,963
"columbus, ga",2/1/19,953
south bend-elkhart,12/1/18,924
colorado springs-pueblo,12/1/18,919
columbia-jefferson city,11/1/18,895
las vegas,1/1/19,869
minot-bismarck-dickinson,1/1/19,845
cleveland-akron,9/1/18,845
rockford,4/1/19,845
tucson-sierra vista,8/1/18,845
chattanooga,11/1/18,845
dayton,10/1/18,845
lincoln-hastings-kearney plus,8/1/18,845
tyler-longview (lfkn&ncgd),4/1/19,845
birmingham,12/1/18,845
medford-klamath falls,7/1/18,845
charlottesville,8/1/18,845
el paso,7/1/18,845
south bend-elkhart,1/1/19,845
lexington,9/1/18,845
chico-redding,1/1/19,845
louisville,9/1/18,845
birmingham,8/1/18,845
toledo,5/1/19,845
las vegas,10/1/18,845
wilkes barre-scranton,3/1/19,845
tyler-longview (lfkn&ncgd),1/1/19,845
greensboro-high point-winston salem,1/1/19,845
buffalo,12/1/18,845
rockford,7/1/18,845
sioux falls (mitchell),3/1/19,845
yuma-el centro,11/1/18,845
rochester-mason city-austin,10/1/18,845
green bay-appleton,10/1/18,845
traverse city-cadillac,3/1/19,845
birmingham,7/1/18,845
"rochester, ny",7/1/18,795
quincy-hannibal-keokuk,6/1/18,795
west palm beach-ft pierce,10/1/18,790
binghamton,3/1/19,790
harrisonburg,5/1/19,790
charlottesville,7/1/18,790
tulsa,11/1/18,785
chico-redding,4/1/19,725
corpus christi,5/1/19,725
knoxville,12/1/18,590
fort myers-naples,5/1/19,590
parkersburg,11/1/18,569
tyler-longview (lfkn&ncgd),7/1/18,495
charlottesville,6/1/18,495
reno,4/1/19,495
little rock-pine bluff,1/1/19,495
sioux falls (mitchell),11/1/18,495
spokane,1/1/19,495
yakima-pasco-rchlnd-knnwck,9/1/18,495
"lafayette, in",7/1/18,495
dayton,1/1/19,495
"springfield, mo",1/1/19,495
sioux falls (mitchell),10/1/18,295
wausau-rhinelander,2/1/19,295
colorado springs-pueblo,5/1/19,295
"springfield, mo",3/1/19,295
tucson-sierra vista,10/1/18,295
mobile-pensacola,3/1/19,295
augusta,10/1/18,295
savannah,8/1/18,295
tyler-longview (lfkn&ncgd),3/1/19,295
des moines-ames,1/1/19,295
victoria,4/1/19,295
champaign-springfield-decatur,10/1/18,236
san angelo,5/1/19,182
idaho falls-pocatello,12/1/18,148
salisbury,5/1/19,143
columbia-jefferson city,5/1/19,142
salisbury,3/1/19,126
lexington,7/1/18,120
wausau-rhinelander,11/1/18,114
dayton,5/1/19,79
toledo,3/1/19,68
wichita falls-lawton,4/1/19,48
